No,Minggu,Tanggal Mulai,Tanggal Selesai,Fase,Kategori,Task,Deskripsi,PIC,Status,Prioritas,Milestone
25,Weekly #3,25/05/2026,31/05/2026,Development & Integration,AI/ML,Streamlit Demo Endpoint,Demo interaktif: input teks -> label + confidence + visualisasi metrik,AI/ML Engineer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
26,Weekly #3,25/05/2026,31/05/2026,Development & Integration,AI/ML,Simpan & Dokumentasi Model,Upload model ke Google Drive; dokumentasikan di README,AI/ML Engineer,Belum Mulai,Sedang,Model Final & Streamlit Demo
27,Weekly #3,25/05/2026,31/05/2026,Development & Integration,Backend,Integrasi AI ke Backend,Muat model ke memori saat server start; panggil inference tiap pesan,Backend Developer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
28,Weekly #3,25/05/2026,31/05/2026,Development & Integration,Backend,Logika Aksi Moderasi,PANTAS -> normal; TIDAK PANTAS -> sembunyikan + notifikasi + log,Backend Developer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
29,Weekly #3,25/05/2026,28/05/2026,Development & Integration,Backend,WebSocket (Finalisasi),Finalisasi dan uji WebSocket real-time stabil,Backend Developer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
30,Weekly #3,25/05/2026,31/05/2026,Development & Integration,Frontend,Halaman ChatRoom (Final),Finalisasi integrasi komponen chat dengan WebSocket,Frontend Developer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
31,Weekly #3,25/05/2026,31/05/2026,Development & Integration,Frontend,Integrasi WebSocket (FE),Hubungkan FE ke WebSocket BE untuk pesan real-time,Frontend Developer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
32,Weekly #3,25/05/2026,31/05/2026,Development & Integration,Frontend,Notifikasi Moderasi (FE),Pesan edukatif untuk pengirim saat pesannya disembunyikan,Frontend Developer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
33,Weekly #3,25/05/2026,31/05/2026,Development & Integration,Frontend,Halaman RoomList,Daftar room/grup tersedia untuk dipilih pengguna,Frontend Developer,Belum Mulai,Sedang,Model Final & Streamlit Demo
34,Weekly #4,01/06/2026,07/06/2026,Integration & Testing,Project Management,Koordinasi Integrasi & Testing,Pimpin integrasi FE-BE-AI; tulis test case; koordinasi bug fixing,Project Manager,Belum Mulai,Tinggi,Integrasi Penuh & CP2 (3 Jun)
35,Weekly #4,01/06/2026,03/06/2026,Integration & Testing,Project Management,Laporan Kemajuan PIJAK,Submit laporan kemajuan ke PIJAK (DEADLINE: 3 Juni 2026),Project Manager,Belum Mulai,Tinggi,Integrasi Penuh & CP2 (3 Jun)
36,Weekly #4,01/06/2026,07/06/2026,Integration & Testing,Backend,Endpoint Admin,GET /api/admin/violations dan GET /api/admin/stats,Backend Developer,Belum Mulai,Tinggi,Integrasi Penuh & CP2 (3 Jun)
37,Weekly #4,01/06/2026,07/06/2026,Integration & Testing,Backend,Testing & Dokumentasi API,Unit test; .env.example; dokumentasi API (auto-docs),Backend Developer,Belum Mulai,Sedang,Integrasi Penuh & CP2 (3 Jun)
38,Weekly #4,01/06/2026,04/06/2026,Integration & Testing,Frontend,Halaman AdminDashboard,Log pelanggaran + grafik statistik (pie/bar chart),Frontend Developer,Belum Mulai,Tinggi,Integrasi Penuh & CP2 (3 Jun)
39,Weekly #4,01/06/2026,07/06/2026,Integration & Testing,Frontend,Integrasi Penuh FE-BE,Hubungkan semua komponen FE dengan endpoint API BE,Frontend Developer,Belum Mulai,Tinggi,Integrasi Penuh & CP2 (3 Jun)
40,Weekly #4,01/06/2026,07/06/2026,Integration & Testing,All Team,Testing Integrasi FE-BE-AI,Uji alur end-to-end: kirim pesan -> moderasi -> respons -> tampilan,All Team,Belum Mulai,Tinggi,Integrasi Penuh & CP2 (3 Jun)
41,Weekly #5,08/06/2026,14/06/2026,Finalization,Project Management,README Documentation,Dokumentasi instalasi; cara menjalankan; link model; referensi dataset,Project Manager,Belum Mulai,Tinggi,Submission Final (19 Jun)
42,Weekly #5,08/06/2026,16/06/2026,Finalization,Project Management,Project Brief PIJAK,Susun Project Brief sesuai template PIJAK,Project Manager,Belum Mulai,Tinggi,Submission Final (19 Jun)
43,Weekly #5,14/06/2026,18/06/2026,Finalization,Project Management,Slide Presentasi,Slide PPTX/PDF: latar belakang; solusi; demo; hasil evaluasi,Project Manager,Belum Mulai,Tinggi,Submission Final (19 Jun)
44,Weekly #5,14/06/2026,18/06/2026,Finalization,Project Management,Video Presentasi,Rekam video 10 menit YouTube; semua anggota presentasi,Project Manager,Belum Mulai,Tinggi,Submission Final (19 Jun)
45,Weekly #5,08/06/2026,16/06/2026,Finalization,Project Management,Panduan Penggunaan,PDF atau video tutorial penggunaan aplikasi,Project Manager,Belum Mulai,Sedang,Submission Final (19 Jun)
46,Weekly #5,08/06/2026,14/06/2026,Finalization,All Team,Testing End-to-End,Pengujian menyeluruh termasuk edge case,All Team,Belum Mulai,Tinggi,Submission Final (19 Jun)
47,Weekly #5,12/06/2026,17/06/2026,Finalization,All Team,Bug Fixing,Perbaikan semua bug dari fase testing,All Team,Belum Mulai,Tinggi,Submission Final (19 Jun)
48,Weekly #5,08/06/2026,15/06/2026,Finalization,Frontend,Responsif Design,Pastikan tampilan baik di mobile (>=375px) dan desktop,Frontend Developer,Belum Mulai,Sedang,Submission Final (19 Jun)
49,Weekly #5,18/06/2026,19/06/2026,Submission,All Team,Final Submission,Submit semua deliverable (DEADLINE: 19 Juni 2026),All Team,Belum Mulai,Tinggi,Submission Final (19 Jun)
